,fileName,dblock_Id,tile,year,content,Town,county,region,country
0,NI-192000-357000-1,NI-192000-357000,01Belleek Pottery,1986," BELLEEK POTTERY WAS FOUNDED ABOUTTHE YEAR 1857 WHEN CHINA CLAY WASFOUND IN THIS AREA.THE POTTERY WAS BUILT ON THE BANKS OF THE RIVER ERNE BECAUSE WATERPOWER WAS NEEDED TO GRIND UP THE INGREDIENTS.THE CHIEF INGREIENTS WERE FELDSPAR,CHINA CLAY, AND FLINT.POTTERY WORKERS WHEREBROUGHT OVER FROM STROKE_ON_TRENT TO TEACH THE LOCAL PEOPLE.THE FOUNDERS OF BELLEEK POTTERY WHERE J.C.BLOOMFIELD THE LOCAL LANDLORD ,D.MC BIRNEY ADUBLIN BUSINESS MAN AND MR ARMSTRONG A CERMATICS EXPERT.AT FIRST THE POTTERYMADE ONLY COMMONWARE AND ONLY LATERMADE THE FINE CHINA FOR WHICH IT ISNOW FAMOUS.THE POTTERY NOW ONLY MAKESFINE CHINA AND SELLING MOST OF THE PRODUCTIONS TO THE U.S.A.THE STRONGDOLLAR AT THE MOMENT HELPS THIS AGREAT DEAL.SHAMROCK DESIGNS APPEAL PARTICULARY TO THE IRISH_AMERICANS. ",Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
1,NI-192000-357000-10,NI-192000-357000,10SLATER'S CROSS,1986," SLATER'S CROSS IS A CROSSROADS NEARBELLEEK.THE ROADS GO TO ENNISKILLEN, BELLEEK, BALLYSHANNON AND GARRISON.THERE WAS ALWAYS A PUBLIC HOUSE AT THE CROSSROADS BUT THE LAST ONE OWNED BY THE SLATER FAMILY WAS BLOWN UP IN1970.DURING THE LAST CENTURY THE PUB WAS BOUGHT BY THE GARVIN FAMILY ANDPEOPLE USED TO HAVE THEIR LAST DRINK THERE BEFORE TAKING A STEAMER TO EMIGRATE TO ANOTHER COUNTRY.ON MARKETDAYS IN BELLEEK PEOPLE FROM GARRISON USED TO COME DOWN TO THE FAIR AND USED TO DRINK IN SLATERS. EVERY FAIR DAYTHE MEN FROM GARRISON USED TO FIGHTWITH THE MEN FROM BELLEEK AND THESEWERE CALLED FACTION FIGHTS.ONE OF THETHINGS THAT REMAIN OF THE OLD PUB IS BIG STONE WHICH WAS CALLED A MOUNTINGSTONE WHICH WAS TO HELP THE CUSTOMERSGET UP ON THEIR HORSES.",Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
2,NI-192000-357000-11,NI-192000-357000,11BELLEEK LANDSCAPE,1986, ON THE NORTH BANK OF THE RIVER ERNENEAR BELLEEK THERE IS A THIN SOILSITTING ON LIMESTONE. OVER THE YEARS THE STONES HAVE BEEN GATHERED OUT TO MAKE STONE DITCHES.ON THE SOUTH BANK OF THE RIVER THE LAND IS LOWER AND WETTER AND IT HAS BEEN AN EXTENSIVEBOG UNTIL RECENT TIMES.THE HIGHEST POINT AROUND IS RATHMORE HILL ABOVETHE VILLAGE AND FROM IT LOOKING EAST THERE IS A GREAT STRETCH OF GREENGRAZING FIELDS.LOOKING NORTH INTO EIRE IS BOGLAND AND FOREST AND TO THE SOUTH IS THE ROUGH GRAZING AND SCRUB OF THESOUTH BANK. TO THE WEST IS DONEGAL BAY AND GREEN FIELDS.TO THE SOUTH-EAST ISLOUGH ERNE AND ABOVE IT THE CLIFFS OFMAHO AND PEREGRINE FALCONS NESTHERE.SOME YEARS AGO WHEN THERE WEREONLY 4 PAIRS NESTING IN IRELAND ONE OF THE PAIRS NESTED HERE.THERE IS A BEAUTIFUL VIEW FROM THE TOP ,Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
3,NI-192000-357000-12,NI-192000-357000,12TURF CUTTING,1986," THERE IS A SPECIAL TYPE OF SPADE WITH A WING ON ONE SIDE FOR CUTTINGTHE TURF.USUALLY THERE ARE 3 MEN WORKING IN THE BOG TOGETHER. ONE CUTS, ONE LIFTS AND ONE WHEELS.YOU TAKE 15CM OF THE SURFACE LAYER BEFORE YOU STARTCUTTING.THE SODS ARE THEN CUT ANDWHEELED A SHORT DISTANCE AWAY.WHEN THEY ARE PARTLY DRY THEY CAN BE PUTINTO CLAMPS OR CASTLES AND LEFT FOR AFEW WEEKS TO SEASON AND DRY OUT. THENTHEY ARE BAGGED AND TAKEN HOME. 31 OUT OF 35 IN OUR CLASS USE TURF FORHEATING.TURF CAN BE USED FOR MANYTHINGS E.G.FOR MAKING ORNAMENTS,IN GARDENING AND IN POWER STATIONS TO MAKE ELECTRICITY.MACHINES TO CUT TURFWHICH ARE ATTACHED TO A TRACTOR ARERECENTLY BECOMING COMMON AND FEW ARE NOW CUTTING TURF BY HAND. ",Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
4,NI-192000-357000-13,NI-192000-357000,13CHANGES IN BELLEEK,1986," BELLEEK HAS CHANGED IN SO MANY DIFFERENT WAYS.LONG AGO BELLEEK HADONLY 2 CARS NOW IT HAS HUNDREDSPACKED UP THE STREET.THE ONLY CARS IN THE TOWN BELONGED TO THE DOCTOR AND MR.ELLIOT.NOW THE CARS HAVE DIFFICULTY IN PARKING BECAUSE THE COUNCIL HAVEHAD A PLAN TO PLANT TREES.THERE WAS ALOT OF ARGUMENTS BUT THE COUNCIL GOT THERE OWN WAY IN THE END.ON A SATURDAY THE TOWN IS LIKE A BUSY CITY.THE CATTLE MART IS SOMETIMES RESPONSIBLE FOR THIS.PEOPLE BLOCK THE STREET WITHTHEIR CARS,GOING FROM ONE SHOP TOANOTHER OR TO THE FRUIT AND VEGETABLESTALLS.ABOUT 14 SHOPS AND SEVERALBANKS HAVE OPENED UP HERE WITHIN THE LAST 5/6 YEARS. THREE HOUSING ESTATESHAVE BEEN BUILT IN THE PAST 16 YEARS AS PEOPLE MOVE FROM THE COUNTRYSIDEINTO THE VILLAGE.WE HAVE ALSO A NEWHEALTH CENTRE AND FIRE STATION",Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
5,NI-192000-357000-14,NI-192000-357000,14MY FATHER,1986, MY FATHER'S NAME IS FRANK O'SHEA AND HE IS A MILKMAN.HE GETS UP EARLY EVERY MORNING AT ABOUT FIVE O'CLOCK AND GOES AROUND THE COUNTRYSIDE DELIVERING MILK TO HOUSES AND TO SHOPS AND HE IS NOT HOME UNTIL 10 OR 11 O'CLOCK FOR HISBREAKFAST.MY FATHER DOES NOT MILK HISOWN COWS HE GETS THE MILK FROM A CREAMARY CALLED STRATHROY. LONG AGOPEOPLE USED TO MILK THEIR OWN COWS BUT NOW PEOPLE BUY THEIR MILK FROM THE SHOPS AND YOU CAN ALSO BUY MILK IN A PUB.MY FATHER HAS THE MILK DELIVERED THREE TIMES A WEEK AND EVERY EVENING HE DELIVERS THE MILK TO THEHOUSESAROUND WHERE WE LIVE.MY FATHER IS NOTTHE ONLY MILKMAN AROUND BELLEEK. DERRYGONNELY CREAMERY DELIVERS MILK TO SOMEOF THE HOUSES AND SHOPS IN THE TOWN.MYFATHER IS A VERY BUSY MAN. ,Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
6,NI-192000-357000-15,NI-192000-357000,15CONFIRMATION,1986," CONFIRMATION THIS YEAR WAS HELD IN BELLEEK ON THE 18TH OF MAY 1985.BISHOP DUFFY ADMINISTERED COMFIRMATION TO BELLEEK,GARRISON AND ROSCOR SCHOOL CHILDREN. BEFORE WE WENT INTO THECHAPEL SOME CHILDREN GOT THEIR PHOTOGRAPHS TAKEN. THE BELLEEK CHOIR SANG AS THE BISHOP ENTERED .THE BISHOP TALKED TO US BEFORE WE WERE CONFIRMEDAND SOME CHILDREN SAID PRAYERS FROM THE ALTAR.WHEN WE WERE BEINGCONFIRMED WE HAD TO GO UP AND KNEELBEFORE THE BISHOP WITH OUR SPONSORSSTANDING BEHIND. WHEN THE CEREMONY WAS OVER WE ALL WENT OUTSIDE AND SOMEGOT PHOTOGRAPHS TAKEN WITH THE BISHOP.SOME PEOPLE WENT HOME FOR THEIR DINNER BUT SOME WENT TO THE HOTELFOR A MEAL.WE ALL WENT AWAY FOR THEDAY AND WE HAD A GREAT DAY.ALL THOSE CHILDREN WHO ARE LEAVING THE PRIMARY SCHOOL THIS YEAR WERE THOSE CONFIRMED ",Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
7,NI-192000-357000-16,NI-192000-357000,16PLACES OF WORSHIP,1986," THERE ARE THREE PLACES OF WORSHIP IN BELLEEK.THE ROMAN CATHOLIC CHURCH,THEMETHODIST CHURCH AND THE CHURCH OF IRELAND.THE ROMAN CATHOLIC CHURCH WASOPENED ON THE 7th JUNE 1893 BY BISHOPDONNELLY.THE CHURCH'S STYLE IS A MIXTURE OF ENGLISH POINTED AND GOTHIC.THE CHURCH IS 100 FEET LONG BY30 FEET WIDE AND THE TOWER IS 55 FEETHIGH.THE CHURCH IS DEDICATED TO ST.PATRICK.THE CHURCH OF IRELAND WASFIRST BUILT AT AUGHTERDRUM ABOUT 5 MILES FROM BELLEEK.THIS CHURCH IS NOWA PICTURESQUE RUIN ON A HILL.THE CHURCH IN BELLEEK WAS BUILT IN 1909AND CONSECRATED BY BISHOP MAURICE DAY. THE METHODIST CHURCH WAS OPENED ON MAY 24th 1854 BUT IS NOT USED FOR PUBLIC WORSHIP ANYMORE AND IS SOON TO BE SOLD THERE ARE SOME MASS-ROCKS IN THIS AREA WHERE CATHOLICS HEARD MASS IN REMOTE PLACES IN TIMES OF PERSECUTION. ",Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
8,NI-192000-357000-17,NI-192000-357000,17OUR HOUSE,1986," OUR HOUSE IS AT TONAGHGORM, LEGGSAND IS SITUATED ON THE MAIN KESH TOBELLEEK ROAD.IT IS A TWO STORY HOUSE WITH A SLATE ROOF. SURROUNDING OUR HOUSE ARE SHEDS ,SOME TREES AND GREENFIELDS. FROM OUR HOUSE YOU CAN LOOKOUT OVER LOVELY LOUGH ERNE, CASTLE CALDWELL FOREST AND THE FLAT MOUNTAINKNOWN AS THE BAR OF WHEALT.WE HAVE THREE BEDROOMS UPSTAIRS FOR MYSELF,MY BROTHERS AND MY PARENTS.THERE FIVEROOMS DOWNSTAIRS,THE BATHROOM,THE HALL WHERE THE TELEPHONE IS KEPT AND WHEREMAMMY KEEPS ALL HER INDOOR PLANTS,THEKITCHEN, THE LIVING ROOM AND THE SPARE ROOM.IN THE KITCHEN THERE IS A RAYBURN ROYAL COOKER WHICH BURNS TURF ANDPROVIDES HOT WATER FOR DOMESTIC USEAND FOR RADIATORS.MY FATHER IS A FARMER AND OUR COWS SUCKLE THEIR CALVES UNTIL THE CALVES ARE SOLD INTHE AUTUMN. ",Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
9,NI-192000-357000-18,NI-192000-357000,18HOUSING IN BELLEEK,1986," THERE ARE SEVEN SMALL HOUSING ESTATESIN BELLEEK.THEY ARE DALY PARK, ROCKFIELD PARK,ROCKFIELD GARDENS,TWO SETS OF ORLIT HOUSES BUILT AFTER THE LAST WAR,RATHMORE TERRACE AND ST.PATRICK'S TERRACE.THE LAST TWO USED TO BE KNOWN RESPECTIVELY AS ENGLISH ROW AND IRISH ROW AND WERE ERECTED IN THELAST CENTURY FOR THE ENGLISH AND IRISH POTTERY WORKERS.THE FIRST THREE NAMEDESTATES ARE RECENTLY BUILT AND HAVEABOUT 40 HOUSES EACH.MOST OF THE HOUSES HAVE NICE GARDENS AND THEY AREALL CONVENIENT TO SHOPS,THE HEALTH CENTRE,SCHOOLS AND THE CHURCHES.MANY NEW BUNGALOWS HAVE BEEN BUILT RECENTLY AND MANY OLDER HOUSES RENOVATED WITH HOUSING GRANTS.AT ONE TIME ALL THE HOUSES IN BELLEEK WERE THATCHED BUTNOW THERE IS ONLY ONE LEFT.PEOPLE NOWLIVE IN MUCH BETTER CONDITIONS THANTHEY USED TO DO.",Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
